y,x,AP1,AP2,AP3
2,11,-43.0,-64.0,-94.0
2,11,-46.0,-64.0,-93.0
2,11,-45.0,-63.0,-93.0
2,11,-47.0,-63.0,-93.0
2,11,-46.0,-64.0,-91.0
2,11,-45.0,-64.0,-94.0
2,11,-43.0,-64.0,-92.0
2,11,-43.0,-64.0,-92.0
2,11,-44.0,-64.0,-92.0
2,11,-45.0,-63.0,-94.0
2,11,-45.0,-63.0,-91.0
2,11,-45.0,-62.0,-93.0
2,11,-46.0,-69.0,-92.0
2,11,-46.0,-67.0,-93.0
2,11,-46.0,-69.0,-91.0
2,11,-45.0,-65.0,-92.0
2,11,-43.0,-64.0,-92.0
2,11,-45.0,-64.0,-92.0
2,11,-45.0,-65.0,-93.0
2,11,-45.0,-65.0,-93.0
2,11,-45.0,-65.0,-92.0
2,11,-46.0,-65.0,-94.0
2,12,-48.0,-73.0,-96.0
2,12,-47.0,-67.0,-93.27
2,12,-47.0,-68.0,-93.27
2,12,-48.0,-66.0,-93.27
2,12,-48.0,-67.0,-93.27
2,12,-48.0,-66.0,-93.27
2,12,-50.0,-66.0,-93.27
2,12,-49.0,-66.0,-93.27
2,12,-49.0,-66.0,-93.27
2,12,-50.0,-66.0,-93.27
2,12,-49.0,-66.0,-93.27
2,12,-48.0,-66.0,-93.27
2,12,-48.0,-66.0,-93.27
2,12,-49.0,-65.0,-93.27
2,12,-48.0,-65.0,-93.27
2,12,-49.0,-65.0,-93.27
2,12,-49.0,-65.0,-93.27
2,12,-48.0,-65.0,-93.27
2,12,-49.0,-65.0,-93.27
2,12,-49.0,-66.0,-93.27
2,12,-50.0,-65.0,-93.27
2,12,-50.0,-66.0,-93.27
2,12,-50.0,-65.0,-93.27
2,12,-51.0,-65.0,-93.27
2,12,-48.0,-65.0,-93.27
2,12,-51.0,-64.0,-93.27
2,12,-50.0,-65.0,-93.27
2,12,-52.0,-64.0,-93.27
2,12,-49.0,-64.0,-93.27
2,12,-47.0,-66.0,-93.27
2,12,-46.0,-64.0,-93.27
2,12,-46.0,-64.0,-93.27
2,12,-49.0,-65.0,-93.27
2,12,-49.0,-61.0,-93.27
2,12,-52.0,-61.0,-93.27
2,12,-54.0,-64.0,-93.27
2,12,-50.0,-62.0,-92.0
2,12,-48.0,-66.0,-94.0
2,12,-49.0,-60.0,-93.27
2,12,-47.0,-62.0,-93.27
2,12,-48.0,-62.0,-93.27
2,12,-47.0,-63.0,-93.27
2,12,-48.0,-64.0,-93.27
2,12,-48.0,-63.0,-93.27
2,12,-47.0,-62.0,-93.27
2,12,-47.0,-62.0,-93.27
2,12,-47.0,-64.0,-93.27
2,12,-47.0,-62.0,-93.27
2,12,-46.0,-61.0,-93.27
2,12,-47.0,-63.0,-93.0
2,12,-48.0,-64.0,-94.0
2,12,-46.0,-63.0,-93.0
2,12,-49.0,-64.0,-92.0
2,12,-47.0,-63.0,-93.27
2,12,-50.0,-65.0,-93.0
2,12,-50.0,-61.0,-93.27
2,12,-52.0,-61.0,-93.0
2,12,-48.0,-68.0,-92.0
2,12,-51.0,-66.0,-94.0
2,12,-50.0,-64.0,-93.27
2,13,-51.0,-71.0,-92.75
2,13,-50.0,-69.0,-96.0
2,13,-51.0,-72.0,-94.0
2,13,-52.0,-71.0,-93.0
2,13,-54.0,-69.0,-92.0
2,13,-51.0,-67.0,-93.0
2,13,-50.0,-71.0,-96.0
2,13,-49.0,-69.0,-93.0
2,13,-47.0,-70.0,-95.0
2,13,-49.0,-67.0,-96.0
2,13,-47.0,-67.0,-93.0
2,13,-48.0,-67.0,-94.0
2,13,-48.0,-68.0,-94.0
2,13,-48.0,-67.0,-94.0
2,13,-47.0,-67.0,-96.0
2,13,-48.0,-67.0,-94.0
2,13,-47.0,-69.0,-96.0
2,13,-47.0,-68.0,-94.0
2,13,-48.0,-68.0,-93.0
2,13,-49.0,-68.0,-92.0
2,13,-48.0,-68.0,-93.0
2,13,-49.0,-66.0,-94.0
2,13,-50.0,-68.0,-95.0
2,13,-49.0,-69.0,-100.0
2,13,-47.0,-67.0,-95.0
2,13,-46.0,-67.0,-96.0
2,13,-48.0,-68.0,-94.0
2,13,-49.0,-67.0,-94.0
2,13,-49.0,-67.0,-94.0
2,13,-50.0,-66.0,-92.0
2,13,-48.0,-68.0,-94.0
2,13,-47.0,-66.0,-93.0
2,13,-48.0,-67.0,-94.0
2,13,-50.0,-69.0,-92.0
2,13,-51.0,-71.0,-93.0
2,13,-49.0,-67.0,-93.0
2,13,-49.0,-65.0,-93.0
2,13,-48.0,-66.0,-91.0
2,13,-48.0,-65.0,-91.0
2,13,-47.0,-64.0,-90.0
2,13,-46.0,-63.0,-89.0
2,13,-44.0,-68.0,-90.0
2,13,-45.0,-67.0,-91.0
2,13,-47.0,-66.0,-91.0
2,13,-45.0,-70.0,-92.0
2,13,-47.0,-65.0,-91.0
2,13,-47.0,-65.0,-90.0
2,13,-50.0,-65.0,-90.0
2,13,-49.0,-67.0,-92.0
2,13,-47.0,-68.0,-89.0
2,13,-48.0,-68.0,-92.0
2,13,-44.0,-64.0,-92.0
2,13,-54.0,-67.0,-91.0
2,13,-49.0,-67.0,-94.0
2,13,-45.0,-68.0,-91.0
2,13,-45.0,-67.0,-89.0
2,13,-48.0,-65.0,-89.0
2,13,-48.0,-66.0,-88.0
2,13,-46.0,-65.0,-92.0
2,13,-48.0,-64.0,-90.0
2,14,-48.0,-71.0,-93.45
2,14,-46.0,-74.0,-96.0
2,14,-45.0,-73.0,-96.0
2,14,-46.0,-70.0,-92.0
2,14,-46.0,-71.0,-93.0
2,14,-45.0,-72.0,-91.0
2,14,-46.0,-72.0,-93.0
2,14,-47.0,-72.0,-89.0
2,14,-46.0,-74.0,-91.0
2,14,-47.0,-72.0,-89.0
2,14,-46.0,-72.0,-91.0
2,14,-45.0,-72.0,-93.0
2,14,-45.0,-72.0,-93.45
2,14,-44.0,-72.0,-94.0
2,14,-44.0,-72.0,-92.0
2,14,-46.0,-72.0,-92.0
2,14,-46.0,-71.0,-92.0
2,14,-46.0,-71.0,-93.0
2,14,-44.0,-71.0,-93.0
2,14,-47.0,-71.0,-92.0
2,14,-45.0,-72.0,-92.0
2,14,-44.0,-71.0,-93.0
2,14,-46.0,-71.0,-94.0
2,14,-43.0,-71.0,-95.0
2,14,-44.0,-72.0,-95.0
2,14,-44.0,-73.0,-94.0
2,14,-46.0,-73.0,-93.45
2,14,-45.0,-74.0,-93.0
2,14,-45.0,-73.0,-92.0
2,14,-45.0,-73.0,-94.0
2,14,-46.0,-74.0,-92.0
2,14,-45.0,-72.0,-95.0
2,14,-44.0,-70.0,-92.0
2,14,-45.0,-71.0,-92.0
2,14,-44.0,-72.0,-93.0
2,14,-43.0,-72.0,-97.0
2,14,-44.0,-72.0,-92.0
2,14,-44.0,-70.0,-96.0
2,14,-43.0,-70.0,-93.45
2,14,-45.0,-68.0,-93.45
2,14,-47.0,-72.0,-93.45
2,14,-46.0,-74.0,-96.0
2,14,-46.0,-72.0,-93.45
2,14,-45.0,-73.0,-93.45
2,14,-47.0,-76.0,-94.0
2,14,-46.0,-79.0,-93.0
2,14,-45.0,-79.0,-93.0
2,14,-46.0,-76.0,-95.0
2,14,-46.0,-76.0,-92.0
2,14,-48.0,-75.0,-95.0
2,14,-46.0,-74.0,-94.0
2,14,-45.0,-78.0,-98.0
2,14,-45.0,-75.0,-93.45
2,14,-43.0,-73.0,-93.45
2,14,-43.0,-72.0,-93.45
2,14,-45.0,-73.0,-93.45
2,14,-44.0,-77.0,-93.45
2,14,-47.0,-68.0,-98.0
2,14,-47.0,-66.0,-96.0
2,14,-46.0,-64.0,-95.0
2,15,-57.0,-78.0,-91.0
2,15,-57.0,-78.0,-91.0
2,15,-56.0,-78.0,-89.0
2,15,-57.0,-77.0,-91.0
2,15,-56.0,-69.0,-91.0
2,15,-58.0,-68.0,-91.0
2,15,-60.0,-66.0,-92.0
2,15,-61.0,-65.0,-91.0
2,15,-60.0,-65.0,-93.0
2,15,-61.0,-65.0,-89.0
2,15,-65.0,-69.0,-94.0
2,15,-61.0,-66.0,-92.0
2,15,-60.0,-68.0,-90.0
2,15,-59.0,-67.0,-92.0
2,15,-57.0,-65.0,-90.0
2,15,-57.0,-66.0,-89.0
2,15,-59.0,-69.0,-88.0
2,15,-60.0,-69.0,-90.0
2,15,-59.0,-70.0,-91.0
2,15,-59.0,-68.0,-92.0
2,15,-60.0,-71.0,-91.0
2,15,-55.0,-67.0,-92.0
2,15,-56.0,-71.0,-90.0
2,15,-55.0,-69.0,-89.0
2,15,-55.0,-68.0,-88.0
2,15,-56.0,-70.0,-90.0
2,15,-55.0,-74.0,-88.0
2,15,-56.0,-71.0,-89.0
2,15,-56.0,-71.0,-88.0
2,15,-56.0,-73.0,-89.0
2,15,-56.0,-74.0,-89.0
2,15,-56.0,-71.0,-89.0
2,15,-57.0,-72.0,-88.0
2,15,-56.0,-71.0,-88.0
2,15,-56.0,-69.0,-88.0
2,15,-56.0,-68.0,-88.0
2,15,-56.0,-68.0,-88.0
2,15,-57.0,-70.0,-90.0
2,15,-53.0,-68.0,-88.0
2,15,-62.0,-66.0,-88.0
2,15,-59.0,-68.0,-90.0
2,15,-57.0,-68.0,-89.0
2,15,-57.0,-68.0,-88.0
2,15,-56.0,-69.0,-88.0
2,15,-55.0,-68.0,-89.0
2,15,-54.0,-69.0,-90.0
2,15,-54.0,-69.0,-89.0
2,15,-54.0,-69.0,-90.0
2,15,-55.0,-69.0,-87.0
2,15,-54.0,-69.0,-89.0
2,15,-54.0,-68.0,-88.0
2,15,-55.0,-69.0,-88.0
2,15,-54.0,-68.0,-88.0
2,15,-55.0,-71.0,-88.0
2,15,-54.0,-72.0,-90.0
2,15,-54.0,-69.0,-88.0
2,15,-55.0,-68.0,-89.0
2,15,-55.0,-67.0,-88.0
2,15,-60.0,-68.0,-88.0
2,15,-60.0,-73.0,-89.0
2,16,-61.0,-65.0,-92.0
2,16,-61.0,-67.0,-93.0
2,16,-60.0,-67.0,-92.0
2,16,-62.0,-65.0,-92.0
2,16,-58.0,-66.0,-93.0
2,16,-60.0,-64.0,-95.0
2,16,-62.0,-65.0,-95.0
2,16,-64.0,-67.0,-93.65
2,16,-62.0,-67.0,-93.65
2,16,-62.0,-66.0,-93.65
2,16,-62.0,-66.0,-96.0
2,16,-61.0,-65.0,-94.0
2,16,-60.0,-65.0,-94.0
2,16,-61.0,-65.0,-94.0
2,16,-60.0,-66.0,-94.0
2,16,-60.0,-64.0,-93.0
2,16,-56.0,-64.0,-92.0
2,16,-53.0,-67.0,-93.0
2,16,-56.0,-71.0,-93.0
2,16,-56.0,-68.0,-94.0
2,16,-55.0,-68.0,-93.0
2,16,-56.0,-69.0,-94.0
2,16,-56.0,-68.0,-95.0
2,16,-55.0,-69.0,-93.65
2,16,-56.0,-68.0,-91.0
2,16,-56.0,-68.0,-92.0
2,16,-58.0,-69.0,-93.0
2,16,-60.0,-69.0,-93.65
2,16,-62.0,-70.0,-93.65
2,16,-62.0,-76.0,-93.65
2,16,-61.0,-67.0,-93.65
2,16,-66.0,-68.0,-93.0
2,16,-67.0,-70.0,-91.0
2,16,-62.0,-71.0,-91.0
2,16,-60.0,-75.0,-99.0
2,16,-60.0,-74.0,-94.0
2,16,-60.0,-71.0,-93.65
2,16,-58.0,-71.0,-95.0
2,16,-58.0,-69.0,-93.65
2,16,-57.0,-69.0,-97.0
2,16,-57.0,-70.0,-95.0
2,16,-58.0,-71.0,-93.0
2,16,-60.0,-72.0,-94.0
2,16,-63.0,-73.0,-93.0
2,16,-63.0,-73.0,-92.0
2,16,-62.0,-77.0,-93.0
2,16,-63.0,-73.0,-96.0
2,16,-64.0,-72.0,-94.0
2,16,-64.0,-71.0,-93.0
2,16,-72.0,-68.0,-91.0
2,16,-64.0,-73.0,-91.0
2,16,-57.0,-79.0,-97.0
2,16,-56.0,-68.0,-93.65
2,16,-56.0,-72.0,-94.0
2,16,-60.0,-73.0,-93.65
2,16,-63.0,-70.0,-95.0
2,16,-64.0,-77.0,-93.0
2,16,-62.0,-75.0,-93.0
2,16,-64.0,-73.0,-95.0
2,16,-56.0,-73.0,-96.0
2,17,-58.0,-72.0,-95.0
2,17,-58.0,-73.0,-93.0
2,17,-60.0,-73.0,-95.0
2,17,-58.0,-72.0,-93.0
2,17,-60.0,-73.0,-95.0
2,17,-60.0,-70.0,-94.0
2,17,-58.0,-74.0,-92.0
2,17,-60.0,-72.0,-96.0
2,17,-60.0,-73.0,-93.0
2,17,-58.0,-70.0,-93.0
2,17,-58.0,-72.0,-94.0
2,17,-56.0,-71.0,-96.0
2,17,-57.0,-66.0,-95.0
2,17,-67.0,-68.0,-94.14
2,17,-67.0,-70.0,-94.14
2,17,-60.0,-70.0,-94.14
2,17,-61.0,-69.0,-94.14
2,17,-57.0,-67.0,-94.14
2,17,-58.0,-76.0,-96.0
2,17,-58.0,-78.0,-94.14
2,17,-60.0,-77.0,-93.0
2,17,-60.0,-79.0,-95.0
2,17,-61.0,-81.0,-96.0
2,17,-60.0,-80.0,-95.0
2,17,-64.0,-77.0,-94.14
2,17,-59.0,-77.0,-94.14
2,17,-58.0,-77.0,-94.14
2,17,-58.0,-74.0,-94.14
2,17,-58.0,-66.0,-97.0
2,17,-57.0,-70.0,-93.0
2,17,-55.0,-66.0,-93.0
2,17,-56.0,-67.0,-94.0
2,17,-56.0,-67.0,-94.0
2,17,-56.0,-67.0,-94.0
2,17,-57.0,-68.0,-94.0
2,17,-57.0,-66.0,-93.0
2,17,-56.0,-66.0,-92.0
2,17,-57.0,-67.0,-94.0
2,17,-60.0,-65.0,-94.0
2,17,-56.0,-68.0,-94.14
